band_number,year,Nestbox,color,date,Species,Sex,blood_num,Age,life_stage,attempt,attempt_id,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,pweight,pwing,ptail,pskull,pbill,ptarsus,occasion,ind_id,brood_size,age,blood_num_mother,site,habitat,interval,juliandate,canopy_cover,meanmaxtempI,maxmaxtempI,cumulativeover40I,meanmaxtempO,maxmaxtempO,cumulativeover40O,meanh,meanmaxh,meanminh,meanmintempI,minmintempI,meanmintempO,minmintempO,cort_s1_mother,cort_s2_mother,cort_s1,cort_s2
NA,2022,MBNC11,Orange,2022-05-04,TRES,U,NA,L,nestling,1,2022_MBNC11_1,4.7,10,0,17.2,2.9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2631-20729,5,4,B051,MB,Forest,2022-04-26 17:00:00 PDT--2022-05-03 17:00:00 PDT,124,66.622,27.755499999999998,33.46,0,29.0324375,34.6025,0,53.155598958333336,77.358375,30.218875,9.7436875,7.564,9.116875,6.964,3408,24145,NA,NA
NA,2022,MBNC11,Orange,2022-05-10,TRES,U,B087,L,nestling,1,2022_MBNC11_1,16.6,34,5,23.3,3.6,12.6,1.9833333333333336,4,0.8333333333333334,1.0166666666666668,0.1166666666666667,0.7999999999999999,0.07033096926713948,0.06666666666666667,Inf,0.009851421188630494,0.006704980842911879,0.017094017094017092,2,2631-20729,5,11,B051,MB,Forest,2022-05-02 17:00:00 PDT--2022-05-09 17:00:00 PDT,130,66.622,25.3093125,33.46,0,25.961,34.6025,0,55.27126302083333,76.95962499999999,36.614125,10.2894375,5.19,9.3983125,4.16,3408,24145,25680,NA
2631-20729,2022,MBNC11,Orange,2022-05-12,TRES,U,NA,L,nestling,1,2022_MBNC11_1,18,41,8,21.8,3.5,11.8,0.6999999999999993,3.5,1.5,-0.75,-0.050000000000000044,-0.39999999999999947,0.021084337349397568,0.051470588235294115,0.15,-0.016094420600858368,-0.00694444444444445,-0.01587301587301585,3,2631-20729,5,13,B051,MB,Forest,2022-05-04 17:00:00 PDT--2022-05-11 17:00:00 PDT,132,66.622,23.8849375,27.67,0,24.24625,27.84,0,58.64427083333333,81.0066875,37.942,8.975125,5.19,7.8779375,4.16,3408,24145,NA,NA
NA,2022,MBNG21,Green,2022-04-19,WEBL,U,NA,L,nestling,1,2022_MBNG21_1,5.6,9,0,18.4,2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94503,4,3,B005,MB,Grassland,2022-04-11 17:00:00 PDT--2022-04-18 17:00:00 PDT,109,NA,NA,-Inf,0,NA,-Inf,0,65.12136284722223,88.58143749999999,40.42225,NA,Inf,NA,Inf,8325.5,73675,NA,NA
NA,2022,MBNG21,Green,2022-04-26,WEBL,U,B017,L,nestling,1,2022_MBNG21_1,25.1,31,4,28.6,5,19.5,2.7857142857142856,3.142857142857143,0.5714285714285714,1.4571428571428575,0.42857142857142855,1.5999999999999999,0.07106413994169096,0.04988662131519274,Inf,0.011313220940550137,0.030612244897959183,0.02753872633390705,2,2941-94503,4,9,B005,MB,Grassland,2022-04-18 17:00:00 PDT--2022-04-25 17:00:00 PDT,116,NA,NA,-Inf,0,NA,-Inf,0,64.35850260416666,91.1096875,33.83375,NA,Inf,NA,Inf,8325.5,73675,3500,10054.5
2941-94503,2022,MBNG21,Green,2022-05-02,WEBL,F,B101,L,nestling,1,2022_MBNG21_1,26.7,58,21,28.5,5.7,20.9,0.26666666666666633,4.5,2.8333333333333335,-0.016666666666666902,0.1166666666666667,0.2333333333333331,0.0017706949977866289,0.024193548387096777,0.11805555555555557,-9.71250971250985e-5,0.0038888888888888896,0.0019943019943019923,3,2941-94503,4,17,B005,MB,Grassland,2022-04-24 17:00:00 PDT--2022-05-01 17:00:00 PDT,122,NA,NA,-Inf,0,NA,-Inf,0,57.001414930555555,86.0346875,28.795125000000002,NA,Inf,NA,Inf,8325.5,73675,NA,NA
NA,2022,MBNR1,Orange,2022-04-28,WEBL,U,NA,L,nestling,1,2022_MBNR1_1,20.6,22,1,28,4.6,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94506,5,8,B048,MB,Row crop,2022-04-20 17:00:00 PDT--2022-04-27 17:00:00 PDT,118,3.882000000000005,29.778937499999998,36.792500000000004,0,30.011812499999998,34.986,0,52.35703125,78.14025,22.8239375,10.7463125,8.308,9.11875,7.25,4526.5,27135,NA,NA
2941-94506,2022,MBNR1,Orange,2022-05-02,WEBL,U,B106,L,nestling,1,2022_MBNR1_1,20.7,39,9,27.9,3.7,20.3,0.024999999999999467,4.25,2,-0.025000000000000355,-0.22499999999999987,0.40000000000000036,3.033980582524207e-4,0.048295454545454544,0.5,-2.2321428571428888e-4,-0.012228260869565211,0.005347593582887705,2,2941-94506,5,12,B048,MB,Row crop,2022-04-24 17:00:00 PDT--2022-05-01 17:00:00 PDT,122,3.882000000000005,31.5115625,34.346,0,32.06625,34.4,0,47.952486979166665,74.384875,20.1146875,11.2389375,9.664,9.46125,7.68,4526.5,27135,6957.5,NA
NA,2022,PCC6,Blue2,2022-05-06,WEBL,U,NA,L,nestling,1,2022_PCC6_1,24.2,39,10,30.2,5.1,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-18497,6,11,B079,PG,Forest,2022-04-28 17:00:00 PDT--2022-05-05 17:00:00 PDT,126,NA,26.706249999999997,32,0,26.956249999999997,31,0,51.77777777777778,72.4988125,32.4281875,12.0875,9.350000000000001,10.79375,8.350000000000001,16275,54590,NA,NA
2941-18497,2022,PCC6,Blue2,2022-05-09,WEBL,F,B078,L,nestling,1,2022_PCC6_1,24.2,53,17,29.7,5.8,20.8,0,4.666666666666667,2.3333333333333335,-0.16666666666666666,0.2333333333333334,0.39999999999999974,0,0.039886039886039885,0.07777777777777778,-0.0018395879323031639,0.015250544662309374,0.006802721088435369,2,2941-18497,6,11,B079,PG,Forest,2022-05-01 17:00:00 PDT--2022-05-08 17:00:00 PDT,129,NA,24.581249999999997,32,0,24.706249999999997,31,0,51.43942274305556,69.52974999999999,34.730625,12,8,10.75,7,16275,54590,4789,60650
NA,2022,PICG1,Blue,2022-05-21,TRES,U,NA,L,nestling,1,2022_PICG1_1,13,16,1,23.9,3.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94532,5,6,NA,PG,Grassland,2022-05-13 17:00:00 PDT--2022-05-20 17:00:00 PDT,141,0,38.702,42.236,16.5,36.3144375,39.7385,1,44.06881076388889,70.670125,21.401000000000003,13.271249999999998,9.721499999999999,12.204375,8.8215,NA,NA,NA,NA
NA,2022,PICG1,Blue,2022-05-24,WEBL,U,NA,L,nestling,1,2022_PICG1_1,18.8,28,2,29.1,4.2,18.9,1.9333333333333336,4,0.3333333333333333,1.7333333333333343,0.2666666666666668,1.5333333333333325,0.049572649572649584,0.08333333333333333,0.1111111111111111,0.024174802417480257,0.026143790849673217,0.03574203574203572,2,2941-94532,5,9,NA,PG,Grassland,2022-05-16 17:00:00 PDT--2022-05-23 17:00:00 PDT,144,0,39.9855625,42.236,30.333333333333336,37.2926875,40.05049999999999,6,38.143328993055555,64.95174999999999,16.5360625,13.974124999999999,9.721499999999999,12.798562500000001,8.8215,NA,NA,NA,NA
2941-94532,2022,PICG1,Blue,2022-05-31,WEBL,F,B149,L,nestling,1,2022_PICG1_1,21.1,53,17,28.8,5.5,21.3,0.3285714285714287,3.5714285714285716,2.142857142857143,-0.04285714285714296,0.1857142857142857,0.34285714285714314,0.002496743378202346,0.018221574344023325,0.15306122448979592,-2.103934357248059e-4,0.006316812439261418,0.002591512795594431,3,2941-94532,5,14,NA,PG,Grassland,2022-05-23 17:00:00 PDT--2022-05-30 17:00:00 PDT,151,0,37.172312500000004,45.77,19.166666666666668,35.197125,44.385999999999996,12.666666666666668,45.52715277777778,72.5558125,23.267187500000002,15.350125,11.337499999999999,13.1004375,9.338000000000001,NA,NA,8339,NA
NA,2022,PICG1,Blue,2022-07-06,TRES,U,NA,L,nestling,2,2022_PICG1_2,7.2,11,0,18.4,2.6,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2881-65885,5,4,B331,PG,Grassland,2022-06-28 17:00:00 PDT--2022-07-05 17:00:00 PDT,187,0,31.5,35,0,33.375,36,0,58.86253472222222,83.977625,35.444500000000005,12.54375,10.350000000000001,11.625,10,4119,26450,NA,NA
NA,2022,PICG1,Blue,2022-07-12,TRES,U,B345,L,nestling,2,2022_PICG1_2,14.3,38,9,23.2,3.4,12.4,1.1833333333333333,4.5,1.5,0.8000000000000002,0.1333333333333333,0.75,0.027391975308641976,0.06818181818181819,Inf,0.007246376811594205,0.008547008547008544,0.01582278481012658,2,2881-65885,5,11,B331,PG,Grassland,2022-07-04 17:00:00 PDT--2022-07-11 17:00:00 PDT,193,0,36,40,0.9166666666666666,38.20625,43,8.166666666666666,54.94268663194444,81.27862499999999,29.994875,14.875,13,13.75,12,4119,26450,7990.5,12820
2881-65885,2022,PICG1,Blue,2022-07-13,TRES,U,NA,L,nestling,2,2022_PICG1_2,14.6,42,10,23.1,3.7,11.4,0.29999999999999893,4,1,-0.09999999999999787,0.30000000000000027,-1,0.020979020979020904,0.10526315789473684,0.1111111111111111,-0.004310344827586115,0.08823529411764713,-0.08064516129032258,3,2881-65885,5,9,B331,PG,Grassland,2022-07-05 17:00:00 PDT--2022-07-12 17:00:00 PDT,194,0,36.25,40,0.9166666666666666,38.58125,43,8.166666666666666,54.6067578125,81.29118749999999,29.0756875,14.5,13,13.25,12,4119,26450,NA,NA
NA,2022,PICG1,Orange,2022-07-06,TRES,U,NA,L,nestling,2,2022_PICG1_2,7.9,12,0,18.4,3.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2881-65887,5,4,B331,PG,Grassland,2022-06-28 17:00:00 PDT--2022-07-05 17:00:00 PDT,187,0,31.5,35,0,33.375,36,0,58.86253472222222,83.977625,35.444500000000005,12.54375,10.350000000000001,11.625,10,4119,26450,NA,NA
NA,2022,PICG1,Orange,2022-07-12,TRES,U,B344,L,nestling,2,2022_PICG1_2,15.8,40,10,23.2,3.3,12.4,1.3166666666666667,4.666666666666667,1.6666666666666667,0.8000000000000002,-0.01666666666666668,0.3333333333333333,0.027777777777777776,0.06481481481481481,Inf,0.007246376811594205,-8.169934640522883e-4,0.005341880341880341,2,2881-65887,5,11,B331,PG,Grassland,2022-07-04 17:00:00 PDT--2022-07-11 17:00:00 PDT,193,0,36,40,0.9166666666666666,38.20625,43,8.166666666666666,54.94268663194444,81.27862499999999,29.994875,14.875,13,13.75,12,4119,26450,6542.5,33970
2881-65887,2022,PICG1,Orange,2022-07-13,TRES,U,NA,L,nestling,2,2022_PICG1_2,15.4,45,10,22.8,3.5,11.3,-0.40000000000000036,5,0,-0.3999999999999986,0.20000000000000018,-1.0999999999999996,-0.025316455696202552,0.125,0,-0.01724137931034477,0.06060606060606066,-0.0887096774193548,3,2881-65887,5,9,B331,PG,Grassland,2022-07-05 17:00:00 PDT--2022-07-12 17:00:00 PDT,194,0,36.25,40,0.9166666666666666,38.58125,43,8.166666666666666,54.6067578125,81.29118749999999,29.0756875,14.5,13,13.25,12,4119,26450,NA,NA
NA,2022,PICR4,Orange,2022-05-05,WEBL,U,NA,L,nestling,1,2022_PICR4_1,NA,7,0,17.6,2.8,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94426,4,1,NA,PG,Row crop,2022-04-27 17:00:00 PDT--2022-05-04 17:00:00 PDT,125,0,28.75,34,0,30.875,38,0,46.27203993055556,70.7103125,24.2275,10.5,8,9.75,7,NA,NA,NA,NA
NA,2022,PICR4,Orange,2022-05-12,WEBL,U,B121,L,nestling,1,2022_PICR4_1,23.7,28,2,27.1,4.1,19.9,NA,3,0.2857142857142857,1.3571428571428572,0.1857142857142857,1.8857142857142857,NA,0.061224489795918366,Inf,0.011015769944341372,0.009475218658892127,0.04020712762717027,2,2941-94426,4,9,NA,PG,Row crop,2022-05-04 17:00:00 PDT--2022-05-11 17:00:00 PDT,132,0,24.331249999999997,28,0,26.456249999999997,31,0,52.87777777777778,75.714125,30.8959375,8.375,4,7.54375,3,NA,NA,8093.5,37350
2941-94426,2022,PICR4,Orange,2022-05-18,WEBL,F,B218,L,nestling,1,2022_PICR4_1,28.2,54,22,20.5,5.2,21,0.75,4.333333333333333,3.3333333333333335,-1.1000000000000003,0.18333333333333343,0.18333333333333357,0.005274261603375528,0.02579365079365079,0.2777777777777778,-0.006765067650676509,0.0074525745257452624,0.001535455053042995,3,2941-94426,4,14,NA,PG,Row crop,2022-05-10 17:00:00 PDT--2022-05-17 17:00:00 PDT,138,0,32.45625,37,0,34.58125,39,0,50.18647135416667,78.760375,24.4106875,11.125,4,9.66875,3,NA,NA,4929.5,44325
NA,2022,RRRR10,Purple,2022-05-03,WEBL,U,NA,L,nestling,1,2022_RRRR10_1,14.5,17,0,24.4,3.5,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94421,4,6,NA,RR,Row crop,2022-04-25 17:00:00 PDT--2022-05-02 17:00:00 PDT,123,NA,27.537499999999994,30,0,29.5,31,0,30.18907284768212,54.4,19.43,9.54375,6,8.875,5,NA,NA,NA,NA
2941-94421,2022,RRRR10,Purple,2022-05-13,WEBL,F,B204,L,nestling,1,2022_RRRR10_1,25.3,66,25,21.4,5.2,18.9,1.08,4.9,2.5,-0.3,0.17,0.4699999999999999,0.007448275862068966,0.02882352941176471,Inf,-0.0012295081967213114,0.004857142857142858,0.003309859154929577,2,2941-94421,4,18,NA,RR,Row crop,2022-05-05 17:00:00 PDT--2022-05-12 17:00:00 PDT,133,NA,23.206249999999997,31,0,25.206249999999997,34,0,52.13169270833333,75.035875,29.6931875,8.125,3,7.125,2,NA,NA,9170,34775
NA,2023,MBNG1,Purple,2023-05-04,WEBL,U,NA,L,nestling,1,2023_MBNG1_1,4.5,8,0,18.5,2.2,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2941-94555,5,2,NA,MB,Grassland,2023-04-26 17:00:00 PDT--2023-05-03 17:00:00 PDT,124,61.098,22.6659375,32.3,0,24.270624999999995,34.54299999999999,0,NA,NA,NA,8.981625,7.76,9.0346875,7.93,NA,NA,NA,NA
