Comments,OK to get fecal sample?,Date of fecal sample,Comments/info from fecal sample visit,Site,Nestbox,Attempt No.,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
NA,NA,NA,NA,Mace Blvd,MBNG26,1,TRES,NA,NA,2021-05-02,Estimated,5,2021-05-07,4,0,0,0,0,1,4,2021-05-17,Estimated,2021-05-28,2021-05-30,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG27,1,TRES,NA,NA,2021-05-22,Estimated,4,2021-05-26,0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG28,1,WEBL,NA,NA,2021-05-12,Confirmed,5,2021-05-17,4,0,0,0,0,1,4,2021-05-29,Estimated,2021-06-11,2021-06-13,NA,4,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG3,1,TRES,NA,NA,2021-04-13,Estimated,4,2021-04-17,3,0,0,0,0,1,3,2021-04-30,Estimated,2021-05-11,2021-05-13,2021-05-12,3,0,0,0,0,"2631-20605, 2631-20606, 2631-20607",NA
NA,NA,NA,NA,Mace Blvd,MBNG3,2,TRES,NA,NA,2021-06-04,Estimated,6,2021-06-10,0,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
HOBO loggers,NA,NA,NA,Mace Blvd,MBNG4,1,TRES,NA,NA,2021-04-10,Estimated,6,2021-04-16,4,1,0,0,0,1,4,2021-04-29,Estimated,2021-05-10,2021-05-12,2021-05-12,4,0,0,0,0,"2631-20608, 2631-20609, 2631-20610, 2631-20611",NA
NA,NA,NA,NA,Mace Blvd,MBNG4,2,TRES,NA,NA,2021-05-26,Confirmed,1,2021-05-27,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG4,3,TRES,NA,NA,2021-06-06,Estimated,3,2021-06-09,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG5,1,TRES,NA,NA,2021-04-19,Estimated,5,2021-04-24,5,0,0,0,0,0,5,2021-05-08,Estimated,2021-05-19,2021-05-21,NA,5,0,0,0,0,NA,NA
NA,NA,NA,NA,Mace Blvd,MBNG5,2,TRES,NA,NA,2021-06-09,Confirmed,4,2021-06-13,4,0,0,0,0,0,4,2021-06-25,Estimated,2021-07-06,2021-07-08,NA,NA,NA,NA,0,0,NA,NA
