Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
4/23/2021 11:44,4/23/2021,"KL, KG",RRR,RRRG11,deploy,RRRG11-humidity,outside,NA,100,0,hobo,,,,,
4/23/2021 11:51,4/23/2021,"KL, KG",RRR,RRRG3,deploy,RRRG3-I,inside,NA,100,0,hobo,,,,,
4/23/2021 11:52,4/23/2021,"KL, KG",RRR,RRRG3,deploy,RRRG3-O,outside,NA,100,0,hobo,,,,,
4/23/2021 12:22,4/23/2021,"KL, KG",RRR,RRRR5,deploy,RRRR5-humidity,outside,NA,100,0,hobo,,,,,
4/23/2021 12:52,4/23/2021,KL KG,MBN,MBNR6,deploy,MBNR6-humidity,outside,NA,100,0,hobo,,,,,
4/23/2021 13:09,4/23/2021,KL KG,MBN,MBNG9,deploy,MBNG9-humidity,outside,NA,100,0,hobo,,,,,
4/24/2021 10:24,4/24/2021,KL,PIC,PCT2,deploy,PCT2-I,inside,NA,100,0,hobo,,,,,
4/24/2021 10:25,4/24/2021,KL,PIC,PCT2,deploy,PCT2-O,outside,NA,100,0,hobo,,,,,
4/24/2021 10:36,4/24/2021,KL,PIC,PCT4,deploy,PCT4-humidity,outside,NA,100,0,hobo,,,,,
4/24/2021 10:52,4/24/2021,KL,PIC,PCT7,deploy,PCT7-I,inside,NA,100,0,hobo,,,,,
4/24/2021 10:53,4/24/2021,KL,PIC,PCT7,deploy,PCT7-O,outside,NA,100,0,hobo,,,,,
4/24/2021 11:08,4/24/2021,KL,PIC,PCT9,deploy,PCT9-I,inside,NA,100,0,hobo,,,,,
4/24/2021 11:09,4/24/2021,KL,PIC,PCT9,deploy,PCT9-O,outside,NA,100,0,hobo,,,,,
4/26/2021 9:58,4/26/2021,KL KG,MBN,MBNC12,deploy,MBNC12-humidity,outside,NA,100,0,hobo,,,,,
4/29/2021 8:57,4/29/2021,KL KG,RRR,RRE15,deploy,RRE15-I,inside,NA,100,0,hobo,,,,,
4/29/2021 8:58,4/29/2021,KL KG,RRR,RRE15,deploy,RRE15-O,outside,NA,100,0,hobo,,,,,
4/29/2021 9:04,4/29/2021,KL KG,RRR,RRC15,deploy,RRC15-I,inside,NA,100,0,hobo,,,,,
4/29/2021 9:05,4/29/2021,KL KG,RRR,RRC15,deploy,RRC15-O,outside,NA,100,0,hobo,,,,,
4/29/2021 9:05,4/29/2021,KL KG,RRR,RRC15,deploy,RRC15-humidity,outside,NA,100,0,hobo,,,,,
4/29/2021 9:36,4/29/2021,KL KG,RRR,RRE10,deploy,RRE10-I,inside,NA,100,0,hobo,,,,,
4/29/2021 9:37,4/29/2021,"KG, KL",RRR,RRE10,deploy,RRE10-O,outside,NA,100,0,hobo,,,,,
4/29/2021 10:04,4/29/2021,"KL, KG",PIC,PICO5,deploy,PICO5-I,inside,NA,100,0,hobo,,,,,
4/29/2021 10:05,4/29/2021,"KL, KG",PIC,PICO5,deploy,PICO5-O,outside,NA,100,0,hobo,,,,,
4/29/2021 10:36,4/29/2021,"KL, KG",PIC,PICR4,deploy,PICR4-I,inside,NA,100,0,hobo,,,,,
4/29/2021 10:37,4/29/2021,"KL, KG",PIC,PICR4,deploy,PICR4-O,outside,NA,100,0,hobo,,,,,
5/1/2021 9:16,5/1/2021,KL,MCN,MCE4,deploy,MCE4-I,inside,NA,100,0,hobo,,,,,
5/1/2021 9:17,5/1/2021,KL,MCN,MCE4,deploy,MCE4-O,outside,NA,100,0,hobo,,,,,
5/1/2021 9:21,5/1/2021,KL,MCN,MCO5,deploy,MCO5-humidity,outside,NA,100,0,hobo,,,,,
5/6/2021 19:36,5/6/2021,"KL, KG",RRR,RRRG1,deploy,cam1,,,,,camera,-,-,full,empty,
5/7/2021 10:18,5/7/2021,"KL, KG",RRR,RRRR5,deploy,RRRR5-I,inside,NA,100,0,hobo,,,,,
5/7/2021 10:19,5/7/2021,"KL, KG",RRR,RRRR5,deploy,RRRR5-O,outside,NA,100,0,hobo,,,,,
