Comments,Site,Nestbox,Attempt No. ,Species,Male ID,Female ID,First Egg Date,First Egg Date Certainty,Clutch Size,Incubation Begins Date,Eggs Hatched,Eggs Failed-to-Hatch,Eggs Abandoned,Eggs Depredated,Eggs Destroyed,Egg Unknown Fate,Brood Size,Hatch Date,HD Observed or Estimated?,Earliest Target Banding Date,Latest Target Banding Date,Date Banded,Nestlings Fledging,Nestlings Perishing,Nestlings Abandoned,Nestlings Depredated,Nestlings Destroyed,BAND numbers of Nestlings,Notes
,Mace Blvd,MBNC13,2,WEBL,"GN/SV right, BE/WH left",unbanded,5/8/2021,Confirmed,5,5/19/2021,5,0,0,0,0,0,5,5/25/2021,Estimated,6/8/2021,6/10/2021,6/10/2021,,,,,,,
,Mace Blvd,MBNC14,1,TRES,,unbanded SY,4/24/2021,Estimated,5,4/28/2021,5,0,0,0,0,0,5,5/11/2021,Estimated,5/23/2021,5/25/2021,5/25/2021,5,0,0,0,0,,
,Mace Blvd,MBNC14,2,ATFL,,,6/23/2021,Confirmed,4,6/30/2021,4,0,0,0,0,0,4,7/11/2021,Estimated,7/21/2021,7/23/2021,,,,,,,,
,Mace Blvd,MBNC15,1,WEBL,"SV/OR right, BE/GN left",,4/20/2021,Estimated,5,,5,0,0,0,0,0,5,5/10/2021,Estimated,5/22/2021,5/24/2021,5/25/2021,5,0,0,0,0,,
,Mace Blvd,MBNC15,2,WEBL,,,6/26/2021,Estimated,5,6/30/2021,4 so far,0,0,0,0,0,4,7/3/2021,Estimated,7/17/2021,7/19/2021,,,,,,,,
HOBO loggers,Mace Blvd,MBNC16,1,WEBL,,,5/18/2021,Confirmed,4,5/21/2021,4,0,0,0,0,0,4,6/5/2021,Estimated,6/17/2021,6/19/2021,6/20/2021,,3,,,,,
,Mace Blvd,MBNC2,1,TRES,banded M or F,Unbanded M or F,4/24/2021,Estimated,5,4/28/2021,5,0,0,0,0,0,5,5/4/2021,Estimated,5/15/2021,5/17/2021,5/13/2021,5,0,0,0,0,,
,Mace Blvd,MBNC2,2,TRES,,ASY,6/6/2021,Confirmed,4,6/9/2021,4,0,0,0,0,0,4,6/19/2021,Estimated,7/1/2021,7/3/2021,,,,,,,,
HOBO loggers,Mace Blvd,MBNC3,1,TRES,,,4/9/2021,Estimated,6,4/14/2021,6,0,0,0,0,0,6,4/27/2021,Estimated,5/9/2021,5/11/2021,5/11/2021,6,0,0,0,0,,
,Mace Blvd,MBNC3,2,WEBL,,unbanded,6/6/2021,Confirmed,4,6/9/2021,,,,,,,,,,,,,,,,,,,
,Mace Blvd,MBNC4,1,TRES,"SV right, RD left M or F",,5/7/2021,Estimated,6,5/12/2021,6,0,0,0,0,0,6,5/19/2021,Estimated,5/31/2021,6/2/2021,6/2/2021,6,0,0,0,0,,
HOBO loggers,Mace Blvd,MBNC5,1,TRES,banded M or F,,4/13/2021,Confirmed,6,4/18/2021,3,3,0,0,0,0,3,5/4/2021,Estimated,5/16/2021,5/18/2021,5/17/2021,3,0,0,0,0,,
,Mace Blvd,MBNC5,2,TRES,,Banded (recaptured),6/2/2021,Confirmed,6,6/9/2021,5,1,0,0,0,0,5,6/21/2021,Estimated,7/3/2021,7/5/2021,,,,,,,,
,Mace Blvd,MBNC6,1,WEBL,,unbanded,6/1/2021,Confirmed,2,,0,0,0,1,0,1,0,,,,,,,,,,,,
HOBO loggers,Mace Blvd,MBNC6,2,WEBL,,,6/9/2021,,5,6/13/2021,5,0,0,0,0,0,5,6/25/2021,Estimated,7/9/2021,7/11/2021,,,,,,,,
,Mace Blvd,MBNC7,1,WEBL,,,5/3/2021,Estimated,4,5/6/2021,3,0,0,0,0,1,3,5/22/2021,Estimated,6/5/2021,6/7/2021,6/7/2021,,,,,,,
,Mace Blvd,MBNC8,1,WEBL,banded w/ color bands,,5/11/2021,Estimated,5,5/12/2021,5,0,0,0,0,0,5,5/28/2021,Estimated,6/11/2021,6/13/2021,6/11/2021,,,,,,,
,Mace Blvd,MBNC9,1,TRES,,,5/31/2021,Estimated,4,6/2/2021,4,0,0,0,0,0,4,6/16/2021,Confirmed,6/30/2021,7/2/2021,,,,,,,,
,Mace Blvd,MBNE1,1,TRES,unbanded M or F,,4/27/2021,Estimated,5,4/28/2021,4,1,0,0,0,0,4,5/5/2021,Estimated,5/16/2021,5/18/2021,5/17/2021,,,,,,,
,Mace Blvd,MBNE1,2,TRES,,,6/1/2021,Confirmed,5,6/9/2021,5,0,0,0,0,0,5,6/18/2021,Estimated,6/30/2021,7/2/2021,,,,,,,,
